index,s1,flh,flk,frh,frk,s2,blh,blk,brh,brk
49,0.0,5236,9806,10277,6542,0.0,5086,9020,10189,5668
48,0.0,5255,9834,10286,6561,0.0,5077,9000,10170,5659
47,0.0,5274,9844,10296,6581,0.0,5067,8981,10160,5649
46,0.0,5284,9853,10296,6600,0.0,5067,8952,10141,5639
45,0.0,5312,9872,10306,6619,0.0,5057,8942,10131,5620
44,0.0,5322,9882,10315,6639,0.0,5048,8933,10102,5611
43,0.0,5351,9891,10315,6668,0.0,5048,8904,10092,5601
42,0.0,5379,9910,10315,6668,0.0,5038,8894,10092,5591
41,0.0,5389,9910,10344,6687,0.0,5029,8865,10063,5582
40,0.0,5399,9920,10344,6697,0.0,5019,8865,10044,5573
39,0.0,5427,9929,10334,6716,0.0,5019,8836,10044,5563
38,0.0,5437,9929,10354,6745,0.0,5019,8807,10014,5554
37,0.0,5466,9939,10354,6755,0.0,5010,8787,9995,5544
36,0.0,5485,9948,10354,6774,0.0,5010,8768,9976,5535
35,0.0,5504,9958,10363,6784,0.0,5010,8758,9976,5525
34,0.0,5514,9958,10373,6784,0.0,5000,8729,9947,5516
33,0.0,5523,9958,10383,6794,0.0,4991,8729,9937,5506
32,0.0,5533,9967,10383,6803,0.0,4991,8700,9927,5506
31,0.0,5543,9967,10392,6823,0.0,4991,8691,9927,5497
30,0.0,5562,9977,10392,6832,0.0,4981,8671,9898,5497
29,0.0,5562,9986,10392,6852,0.0,4981,8662,9888,5497
28,0.0,5581,9986,10402,6852,0.0,4971,8652,9879,5497
27,0.0,5590,9996,10402,6852,0.0,4971,8632,9869,5487
26,0.0,5590,10005,10411,6852,0.0,4971,8623,9859,5477
25,0.0,5600,10005,10411,6861,0.0,4971,8613,9850,5487
24,0.0,5628,10005,10411,6871,0.0,4962,8603,9850,5477
23,0.0,5628,9996,10411,6871,0.0,4962,8603,9830,5487
22,0.0,5647,9996,10421,6871,0.0,4952,8594,9820,5477
21,0.0,5647,9996,10431,6871,0.0,4952,8584,9811,5477
20,0.0,5647,9996,10421,6871,0.0,4952,8574,9811,5477
19,0.0,5667,9986,10431,6881,0.0,4952,8574,9801,5487
18,0.0,5686,9986,10431,6881,0.0,4943,8574,9782,5477
17,0.0,5686,9977,10431,6871,0.0,4943,8574,9782,5487
16,0.0,5705,9977,10431,6871,0.0,4943,8574,9772,5487
15,0.0,5724,9958,10440,6871,0.0,4933,8574,9762,5477
14,0.0,5733,9958,10440,6871,0.0,4933,8574,9743,5477
13,0.0,5733,9948,10440,6871,0.0,4933,8574,9743,5487
12,0.0,5733,9939,10460,6861,0.0,4924,8574,9753,5487
11,0.0,5733,9939,10460,6861,0.0,4924,8584,9753,5497
10,0.0,5733,9929,10460,6842,0.0,4924,8594,9733,5497
9,0.0,5733,9910,10460,6842,0.0,4924,8603,9743,5506
8,0.0,5733,9910,10469,6813,0.0,4924,8613,9733,5506
7,0.0,5733,9891,10469,6803,0.0,4924,8623,9743,5516
6,0.0,5733,9891,10460,6794,0.0,4914,8623,9733,5525
5,0.0,5724,9882,10469,6774,0.0,4914,8652,9733,5535
4,0.0,5705,9882,10488,6755,0.0,4904,8652,9733,5554
3,0.0,5686,9872,10488,6755,0.0,4895,8681,9733,5554
2,0.0,5686,9872,10488,6735,0.0,4895,8691,9733,5573
1,0.0,5657,9863,10488,6697,0.0,4895,8700,9733,5573
0,0.0,5647,9863,10488,6687,0.0,4895,8720,9743,5591
199,0.0,5638,9834,10488,6668,0.0,4895,8749,9753,5611
198,0.0,5609,9844,10488,6648,0.0,4895,8768,9743,5611
197,0.0,5590,9834,10498,6629,0.0,4895,8778,9782,5630
196,0.0,5562,9825,10498,6610,0.0,4895,8807,9791,5649
195,0.0,5562,9815,10488,6590,0.0,4904,8836,9791,5659
194,0.0,5533,9806,10488,6552,0.0,4914,8865,9811,5668
193,0.0,5523,9796,10488,6532,0.0,4914,8894,9830,5687
192,0.0,5495,9787,10479,6503,0.0,4914,8923,9840,5707
191,0.0,5485,9758,10479,6484,0.0,4914,8942,9869,5726
190,0.0,5475,9739,10488,6455,0.0,4914,8962,9879,5745
189,0.0,5447,9720,10469,6445,0.0,4914,9000,9917,5755
188,0.0,5437,9701,10460,6406,0.0,4914,9039,9937,5774
187,0.0,5418,9673,10450,6377,0.0,4914,9059,9937,5793
186,0.0,5379,9663,10450,6358,0.0,4914,9088,9947,5812
185,0.0,5379,9625,10440,6319,0.0,4924,9117,9985,5822
184,0.0,5370,9616,10440,6300,0.0,4924,9146,9995,5850
183,0.0,5341,9587,10450,6261,0.0,4924,9165,10024,5870
182,0.0,5331,9568,10450,6251,0.0,4933,9204,10034,5889
181,0.0,5322,9549,10431,6222,0.0,4943,9233,10044,5898
180,0.0,5303,9521,10431,6193,0.0,4943,9243,10082,5918
179,0.0,5264,9502,10421,6174,0.0,4952,9272,10092,5927
178,0.0,5255,9483,10411,6145,0.0,4962,9301,10102,5946
177,0.0,5245,9464,10402,6116,0.0,4971,9320,10111,5966
176,0.0,5226,9436,10392,6096,0.0,4981,9339,10131,5985
175,0.0,5207,9417,10392,6067,0.0,4991,9368,10150,5994
174,0.0,5197,9388,10373,6048,0.0,5010,9378,10160,6014
173,0.0,5178,9378,10363,6029,0.0,5010,9397,10179,6042
172,0.0,5168,9349,10354,6009,0.0,5029,9427,10179,6052
171,0.0,5149,9330,10344,5990,0.0,5038,9445,10199,6071
170,0.0,5140,9310,10325,5970,0.0,5048,9473,10218,6090
169,0.0,5130,9291,10315,5951,0.0,5067,9492,10228,6109
168,0.0,5111,9272,10296,5932,0.0,5077,9502,10238,6129
167,0.0,5111,9243,10286,5912,0.0,5096,9521,10247,6148
