index,flh,flk,frh,frk,blh,blk,brh,brk
82,4826,9020,9618,5709,5738,9787, 10703, 6407
81,4845,9068,9638,5728,5719,9749, 10694, 6378
80,4864,9097,9657,5748,5699,9730, 10684, 6349
79,4873,9126,9666,5777,5690,9711, 10664, 6321
78,4883,9146,9686,5806,5670,9682, 10635, 6292
77,4902,9175,9705,5845,5641,9654, 10626, 6273
76,4921,9184,9724,5883,5641,9635, 10606, 6244
75,4958,9213,9734,5912,5622,9597, 10577, 6215
74,4977,9233,9743,5932,5603,9568, 10548, 6186
73,4996,9243,9753,5970,5593,9549, 10529, 6157
72,5006,9262,9772,6000,5593,9521, 10509, 6148
71,5025,9281,9782,6029,5573,9492, 10500, 6129
70,5025,9310,9782,6038,5564,9473, 10500, 6109
69,5044,9330,9801,6077,5555,9454, 10470, 6100
68,5063,9349,9811,6096,5545,9417, 10461, 6071
67,5072,9388,9820,6125,5536,9397, 10451, 6052
66,5081,9397,9830,6135,5526,9378, 10432, 6042
65,5100,9417,9830,6154,5517,9359, 10422, 6033
64,5110,9436,9840,6174,5517,9330, 10412, 6004
63,5129,9464,9849,6193,5507,9310, 10393, 5985
62,5157,9483,9859,6242,5498,9281, 10373, 5956
61,5176,9521,9859,6251,5478,9262, 10335, 5927
60,5195,9540,9888,6280,5469,9243, 10325, 5889
59,5214,9578,9888,6309,5459,9204, 10315, 5870
58,5233,9616,9897,6338,5440,9194, 10296, 5831
57,5261,9644,9907,6368,5421,9165, 10267, 5802
56,5290,9673,9926,6406,5402,9136, 10228, 5774
55,5327,9701,9946,6455,5392,9097, 10208, 5745
54,5356,9730,9965,6484,5373,9068, 10179, 5716
53,5384,9739,9984,6513,5344,9049, 10141, 5687
52,5422,9768,10023,6552,5306,9010, 10102, 5659
51,5450,9787,10071,6600,5268,8991, 10073, 5620
50,5488,9806,10100,6639,5239,8942, 10034, 5601
49,5517,9825,10148,6677,5182,8913, 9995, 5601
48,5564,9844,10186,6706,5153,8875, 9956, 5582
47,5602,9872,10215,6735,5105,8846, 9927, 5563
46,5650,9882,10254,6755,5096,8826, 9879, 5544
45,5679,9891,10302,6755,5029,8797, 9850, 5535
44,5717,9910,10331,6735,5010,8797, 9830, 5506
43,5756,9910,10350,6706,4981,8787, 9801, 5497
42,5794,9901,10369,6697,4962,8797, 9782, 5497
41,5823,9901,10388,6677,4943,8816, 9782, 5497
40,5833,9882,10408,6648,4933,8846, 9782, 5497
39,5852,9853,10417,6619,4924,8865, 9782, 5506
38,5852,9815,10408,6600,4924,8894, 9791, 5516
37,5843,9777,10417,6571,4924,8913, 9801, 5544
36,5823,9720,10427,6522,4924,8952, 9820, 5563
35,5794,9673,10417,6493,4924,8991, 9840, 5573
34,5766,9663,10417,6464,4924,9020, 9859, 5601
33,5737,9616,10408,6426,4943,9068, 9869, 5611
32,5688,9587,10398,6406,4952,9107, 9908, 5649
31,5650,9568,10369,6368,4962,9136, 9927, 5659
30,5621,9540,10359,6329,4971,9175, 9937, 5697
29,5582,9521,10340,6309,4981,9194, 9956, 5726
28,5555,9502,10321,6271,5000,9223, 9985, 5755
27,5536,9492,10302,6261,5010,9243, 9995, 5783
26,5517,9483,10292,6251,5019,9272, 10024, 5812
25,5488,9464,10273,6222,5038,9291, 10044, 5841
24,5469,9464,10244,6213,5057,9310, 10053, 5870
23,5450,9454,10234,6174,5077,9330, 10053, 5889
22,5441,9436,10215,6154,5086,9349, 10092, 5898
21,5432,9427,10205,6125,5153,9368, 10092, 5927
20,5422,9407,10196,6106,5134,9378, 10102, 5946
19,5413,9388,10186,6087,5153,9388, 10111, 5966
18,5413,9378,10167,6058,5182,9407, 10111, 5985
